PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Linked images without alt attribute,Linked images codes (without alt),No. of linked images without alt attribute
31,https://shop.testograph.eu/products/testoup,TestoUP Увеличава Тестостерона с 12 клинични дозирани съставки! – Testograph,text/html; charset=utf-8,false,200,0,"https://shop.testograph.eu/cdn/shop/files/1_02c68b6b-a2e5-424c-b0d3-5b15da3f56fc.webp?v=1761478625&width=1420
https://shop.testograph.eu/cdn/shop/files/1_5baa1c8c-4b91-49d9-9bdb-c777acbd29ed.webp?v=1761478616&width=1420
https://shop.testograph.eu/cdn/shop/files/2_5e8d0ee7-7565-40cc-9cfa-8adab0bb21e6.webp?v=1761478615&width=1420
https://shop.testograph.eu/cdn/shop/files/3_9aa1b6c8-35c4-4bb3-8f0c-baf3449fda22.webp?v=1761478626&width=1420
https://shop.testograph.eu/cdn/shop/files/5.webp?v=1761478616&width=1420
https://shop.testograph.eu/cdn/shop/files/5_0660ffce-4d57-4ff9-997e-999ac9cb8145.webp?v=1761478626&width=1420
https://shop.testograph.eu/cdn/shop/files/6.webp?v=1761478631&width=1420
https://shop.testograph.eu/cdn/shop/files/7.webp?v=1761478632&width=1420
https://shop.testograph.eu/cdn/shop/files/8.webp?v=1761478632&width=1420
https://shop.testograph.eu/cdn/shop/files/Ashwagandha.webp?v=1761929910&width=1420
https://shop.testograph.eu/cdn/shop/files/Black-friday-product-image.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/Gemini_Generated_Image_phm395phm395phm3-vmake.jpg?v=1761228802&width=1000
https://shop.testograph.eu/cdn/shop/files/Gemini_Generated_Image_rk0rjmrk0rjmrk0r-vmake.webp?v=1761240973&width=1420
https://shop.testograph.eu/cdn/shop/files/Generated_Image_October_23_2025_-_2_34AM-vmake.webp?v=1761176606&width=150
https://shop.testograph.eu/cdn/shop/files/STARTER_1080_x_500_px.svg?v=1761931319&width=1420
https://shop.testograph.eu/cdn/shop/files/STARTER_31_a37ddf9b-7af1-4a00-a831-4f203bc22096.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/STARTER_32.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/Tribulus-terestris.webp?v=1761929910&width=1420
https://shop.testograph.eu/cdn/shop/files/Vitamin-b12_1.webp?v=1761930775&width=1420
https://shop.testograph.eu/cdn/shop/files/Vitamin-b6_1.webp?v=1761930776&width=1420
https://shop.testograph.eu/cdn/shop/files/Vitamin-b9_1.webp?v=1761930775&width=1420
https://shop.testograph.eu/cdn/shop/files/Vitamin-k2_1.webp?v=1761930776&width=1420
https://shop.testograph.eu/cdn/shop/files/VitaminE.webp?v=1761929910&width=1420
https://shop.testograph.eu/cdn/shop/files/Vitamin_C.webp?v=1761929911&width=1420
https://shop.testograph.eu/cdn/shop/files/Vitamin_D3.webp?v=1761929911&width=1420
https://shop.testograph.eu/cdn/shop/files/Zinc.webp?v=1761929910&width=1420
https://shop.testograph.eu/cdn/shop/files/black-friday-banner.webp?v=1763375727&width=1500
https://shop.testograph.eu/cdn/shop/files/magnesium.webp?v=1761930776&width=1420
https://shop.testograph.eu/cdn/shop/files/photo_2025-10-19_17-20-42.webp?v=1761286870&width=1420
https://shop.testograph.eu/cdn/shop/files/photo_2025-10-23_17-05-42.jpg?v=1761228802&width=1000
https://shop.testograph.eu/cdn/shop/files/revo_1.png?v=1761291212
https://shop.testograph.eu/cdn/shop/files/revo_3_680b2a98-6b29-42e6-a142-9c2e858e4abf.webp?v=1761291783
https://shop.testograph.eu/cdn/shop/files/revo_4.webp?v=1761292104
https://shop.testograph.eu/cdn/shop/files/revo_6.png?v=1761995539&width=1500
https://shop.testograph.eu/cdn/shop/files/selenium.webp?v=1761930776&width=1420
https://shop.testograph.eu/cdn/shop/files/start-before-after-2.webp?v=1760262589&width=1420
https://shop.testograph.eu/cdn/shop/files/testograph_pro.webp?v=1763367826&width=1500
https://shop.testograph.eu/cdn/shop/files/testoup-1.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-2.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-4.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-5.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-6.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-7.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-8.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-9.webp?v=1763375535&width=1946","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",45
31,https://shop.testograph.eu/,Натурална Добавка за Повишаване на Тестостерона с Трибулус и Ашваганда – Testograph,text/html; charset=utf-8,false,200,0,"https://shop.testograph.eu/cdn/shop/files/1234._1344_x_350_px.png?v=1761303725&width=1500
https://shop.testograph.eu/cdn/shop/files/1234._2.png?v=1761306724&width=1500
https://shop.testograph.eu/cdn/shop/files/Black-friday-product-image.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/STARTER_31_a37ddf9b-7af1-4a00-a831-4f203bc22096.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/STARTER_32.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/ashwagandha-img.webp?v=1761297480&width=1500
https://shop.testograph.eu/cdn/shop/files/magnesium-img.webp?v=1761297480&width=1500
https://shop.testograph.eu/cdn/shop/files/selenium-img.webp?v=1761297480&width=1500
https://shop.testograph.eu/cdn/shop/files/testoup-1.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-2.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-4.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-5.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-6.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-7.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-8.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-9.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/tribulus-terestris-img.webp?v=1761297481&width=1500
https://shop.testograph.eu/cdn/shop/files/vitamin-B12.webp?v=1761296014&width=1500
https://shop.testograph.eu/cdn/shop/files/vitamin-B6.webp?v=1761296015&width=1500
https://shop.testograph.eu/cdn/shop/files/vitamin-B9.webp?v=1761296014&width=1500
https://shop.testograph.eu/cdn/shop/files/vitamin-C.webp?v=1761296015&width=1500
https://shop.testograph.eu/cdn/shop/files/vitamin-D.webp?v=1761296014&width=1500
https://shop.testograph.eu/cdn/shop/files/vitamin-E.webp?v=1761296015&width=1500
https://shop.testograph.eu/cdn/shop/files/vitamin-K2.webp?v=1761296015&width=1500
https://shop.testograph.eu/cdn/shop/files/zinc-img.webp?v=1761297481&width=1500","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",25
30,https://shop.testograph.eu/en/products/testoup,TestoUP Увеличава Тестостерона с 12 клинични дозирани съставки! – Testograph,text/html; charset=utf-8,false,200,0,"https://shop.testograph.eu/cdn/shop/files/1_02c68b6b-a2e5-424c-b0d3-5b15da3f56fc.webp?v=1761478625&width=1420
https://shop.testograph.eu/cdn/shop/files/1_5baa1c8c-4b91-49d9-9bdb-c777acbd29ed.webp?v=1761478616&width=1420
https://shop.testograph.eu/cdn/shop/files/2_5e8d0ee7-7565-40cc-9cfa-8adab0bb21e6.webp?v=1761478615&width=1420
https://shop.testograph.eu/cdn/shop/files/3_9aa1b6c8-35c4-4bb3-8f0c-baf3449fda22.webp?v=1761478626&width=1420
https://shop.testograph.eu/cdn/shop/files/5.webp?v=1761478616&width=1420
https://shop.testograph.eu/cdn/shop/files/5_0660ffce-4d57-4ff9-997e-999ac9cb8145.webp?v=1761478626&width=1420
https://shop.testograph.eu/cdn/shop/files/6.webp?v=1761478631&width=1420
https://shop.testograph.eu/cdn/shop/files/7.webp?v=1761478632&width=1420
https://shop.testograph.eu/cdn/shop/files/8.webp?v=1761478632&width=1420
https://shop.testograph.eu/cdn/shop/files/Ashwagandha.webp?v=1761929910&width=1420
https://shop.testograph.eu/cdn/shop/files/Black-friday-product-image.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/Gemini_Generated_Image_phm395phm395phm3-vmake.jpg?v=1761228802&width=1000
https://shop.testograph.eu/cdn/shop/files/Gemini_Generated_Image_rk0rjmrk0rjmrk0r-vmake.webp?v=1761240973&width=1420
https://shop.testograph.eu/cdn/shop/files/Generated_Image_October_23_2025_-_2_34AM-vmake.webp?v=1761176606&width=150
https://shop.testograph.eu/cdn/shop/files/STARTER_1080_x_500_px.svg?v=1761931319&width=1420
https://shop.testograph.eu/cdn/shop/files/STARTER_31_a37ddf9b-7af1-4a00-a831-4f203bc22096.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/STARTER_32.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/Tribulus-terestris.webp?v=1761929910&width=1420
https://shop.testograph.eu/cdn/shop/files/Vitamin-b12_1.webp?v=1761930775&width=1420
https://shop.testograph.eu/cdn/shop/files/Vitamin-b6_1.webp?v=1761930776&width=1420
https://shop.testograph.eu/cdn/shop/files/Vitamin-b9_1.webp?v=1761930775&width=1420
https://shop.testograph.eu/cdn/shop/files/Vitamin-k2_1.webp?v=1761930776&width=1420
https://shop.testograph.eu/cdn/shop/files/VitaminE.webp?v=1761929910&width=1420
https://shop.testograph.eu/cdn/shop/files/Vitamin_C.webp?v=1761929911&width=1420
https://shop.testograph.eu/cdn/shop/files/Vitamin_D3.webp?v=1761929911&width=1420
https://shop.testograph.eu/cdn/shop/files/Zinc.webp?v=1761929910&width=1420
https://shop.testograph.eu/cdn/shop/files/black-friday-banner.webp?v=1763375727&width=1500
https://shop.testograph.eu/cdn/shop/files/magnesium.webp?v=1761930776&width=1420
https://shop.testograph.eu/cdn/shop/files/photo_2025-10-19_17-20-42.webp?v=1761286870&width=1420
https://shop.testograph.eu/cdn/shop/files/photo_2025-10-23_17-05-42.jpg?v=1761228802&width=1000
https://shop.testograph.eu/cdn/shop/files/revo_1.png?v=1761291212
https://shop.testograph.eu/cdn/shop/files/revo_3_680b2a98-6b29-42e6-a142-9c2e858e4abf.webp?v=1761291783
https://shop.testograph.eu/cdn/shop/files/revo_4.webp?v=1761292104
https://shop.testograph.eu/cdn/shop/files/revo_6.png?v=1761995539&width=1500
https://shop.testograph.eu/cdn/shop/files/selenium.webp?v=1761930776&width=1420
https://shop.testograph.eu/cdn/shop/files/start-before-after-2.webp?v=1760262589&width=1420
https://shop.testograph.eu/cdn/shop/files/testograph_pro.webp?v=1763367826&width=1500
https://shop.testograph.eu/cdn/shop/files/testoup-1.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-2.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-4.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-5.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-6.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-7.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-8.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-9.webp?v=1763375535&width=1946","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",45
30,https://shop.testograph.eu/en,Натурална Добавка за Повишаване на Тестостерона с Трибулус и Ашваганда – Testograph,text/html; charset=utf-8,false,200,0,"https://shop.testograph.eu/cdn/shop/files/1234._1344_x_350_px.png?v=1761303725&width=1500
https://shop.testograph.eu/cdn/shop/files/1234._2.png?v=1761306724&width=1500
https://shop.testograph.eu/cdn/shop/files/Black-friday-product-image.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/STARTER_31_a37ddf9b-7af1-4a00-a831-4f203bc22096.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/STARTER_32.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/ashwagandha-img.webp?v=1761297480&width=1500
https://shop.testograph.eu/cdn/shop/files/magnesium-img.webp?v=1761297480&width=1500
https://shop.testograph.eu/cdn/shop/files/selenium-img.webp?v=1761297480&width=1500
https://shop.testograph.eu/cdn/shop/files/testoup-1.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-2.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-4.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-5.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-6.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-7.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-8.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/testoup-9.webp?v=1763375535&width=1946
https://shop.testograph.eu/cdn/shop/files/tribulus-terestris-img.webp?v=1761297481&width=1500
https://shop.testograph.eu/cdn/shop/files/vitamin-B12.webp?v=1761296014&width=1500
https://shop.testograph.eu/cdn/shop/files/vitamin-B6.webp?v=1761296015&width=1500
https://shop.testograph.eu/cdn/shop/files/vitamin-B9.webp?v=1761296014&width=1500
https://shop.testograph.eu/cdn/shop/files/vitamin-C.webp?v=1761296015&width=1500
https://shop.testograph.eu/cdn/shop/files/vitamin-D.webp?v=1761296014&width=1500
https://shop.testograph.eu/cdn/shop/files/vitamin-E.webp?v=1761296015&width=1500
https://shop.testograph.eu/cdn/shop/files/vitamin-K2.webp?v=1761296015&width=1500
https://shop.testograph.eu/cdn/shop/files/zinc-img.webp?v=1761297481&width=1500","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",25
30,https://shop.testograph.eu/collections/all,Продукти – Testograph,text/html; charset=utf-8,false,200,0,https://shop.testograph.eu/cdn/shop/files/testoup-1.webp?v=1763375535&width=533,200,1
30,https://shop.testograph.eu/pages/about-us,За Testograph: Нашата Мисия за Мъжко Здраве и Тестостерон,text/html; charset=utf-8,false,200,0,"https://shop.testograph.eu/cdn/shop/files/aboutus-1.webp?v=1760257950&width=1420
https://shop.testograph.eu/cdn/shop/files/aboutus-2.webp?v=1760257950&width=1420
https://shop.testograph.eu/cdn/shop/files/aboutus-3.webp?v=1760257950&width=1420","200
200
200",3
30,https://shop.testograph.eu/en/collections/all,Products – Testograph,text/html; charset=utf-8,false,200,0,https://shop.testograph.eu/cdn/shop/files/testoup-1.webp?v=1763375535&width=533,200,1
30,https://shop.testograph.eu/en/pages/about-us,За Testograph: Нашата Мисия за Мъжко Здраве и Тестостерон,text/html; charset=utf-8,false,200,0,"https://shop.testograph.eu/cdn/shop/files/aboutus-1.webp?v=1760257950&width=1420
https://shop.testograph.eu/cdn/shop/files/aboutus-2.webp?v=1760257950&width=1420
https://shop.testograph.eu/cdn/shop/files/aboutus-3.webp?v=1760257950&width=1420","200
200
200",3
21,https://shop.testograph.eu/en/blogs/libido-i-seksualno-zdrave/kak-da-si-vurnesh-liboto-i-silnata-erekciya,Как да си върнеш либидото и силната ерекция? – Testograph,text/html; charset=utf-8,false,200,0,https://shop.testograph.eu/cdn/shop/files/testograph-analysys.webp?v=1759941702&width=1500,200,1
21,https://shop.testograph.eu/blogs/simptomi-na-nisak-testosteron/kakvi-sa-simptomite-na-nisak-testosteron,Какви са симптомите на нисък тестостерон? – Testograph,text/html; charset=utf-8,false,200,0,https://shop.testograph.eu/cdn/shop/files/testograph-analysys.webp?v=1759941702&width=1500,200,1
21,https://shop.testograph.eu/blogs/testosteron-sled-30/kak-da-sprem-spada-na-testosteron-sled-30,Как да спрем спада на тестостерона след 30 – Testograph,text/html; charset=utf-8,false,200,0,https://shop.testograph.eu/cdn/shop/files/testograph-analysys.webp?v=1759941702&width=1500,200,1
21,https://shop.testograph.eu/blogs/hranene-i-dieta/koi-hrani-povishavat-testosterona-estestveno,Кои храни повишават тестостерона естествено? – Testograph,text/html; charset=utf-8,false,200,0,https://shop.testograph.eu/cdn/shop/files/testograph-analysys.webp?v=1759941702&width=1500,200,1
21,https://shop.testograph.eu/en/products/testoup-sample-7,TestoUP 7-ДНЕВЕН ПАКЕТ – Testograph,text/html; charset=utf-8,false,200,0,"https://shop.testograph.eu/en/products/Liquid%20error%20(sections/horizontal-ticker%20line%20121):%20invalid%20url%20input
https://shop.testograph.eu/en/products/Liquid%20error%20(sections/horizontal-ticker%20line%20168):%20invalid%20url%20input
https://shop.testograph.eu/en/products/Liquid%20error%20(sections/main-product%20line%20443):%20invalid%20url%20input","404
404
404",3
21,https://shop.testograph.eu/blogs/libido-i-seksualno-zdrave/kak-da-si-vurnesh-liboto-i-silnata-erekciya,Как да си върнеш либидото и силната ерекция? – Testograph,text/html; charset=utf-8,false,200,0,https://shop.testograph.eu/cdn/shop/files/testograph-analysys.webp?v=1759941702&width=1500,200,1
21,https://shop.testograph.eu/en/blogs/hranene-i-dieta/koi-hrani-povishavat-testosterona-estestveno,Кои храни повишават тестостерона естествено? – Testograph,text/html; charset=utf-8,false,200,0,https://shop.testograph.eu/cdn/shop/files/testograph-analysys.webp?v=1759941702&width=1500,200,1
21,https://shop.testograph.eu/en/blogs/testosteron-sled-30/kak-da-sprem-spada-na-testosteron-sled-30,Как да спрем спада на тестостерона след 30 – Testograph,text/html; charset=utf-8,false,200,0,https://shop.testograph.eu/cdn/shop/files/testograph-analysys.webp?v=1759941702&width=1500,200,1
21,https://shop.testograph.eu/products/testoup-sample-7,TestoUP 7-ДНЕВЕН ПАКЕТ – Testograph,text/html; charset=utf-8,false,200,0,"https://shop.testograph.eu/products/Liquid%20error%20(sections/horizontal-ticker%20line%20121):%20invalid%20url%20input
https://shop.testograph.eu/products/Liquid%20error%20(sections/horizontal-ticker%20line%20168):%20invalid%20url%20input
https://shop.testograph.eu/products/Liquid%20error%20(sections/main-product%20line%20443):%20invalid%20url%20input","404
404
404",3
21,https://shop.testograph.eu/en/blogs/simptomi-na-nisak-testosteron/kakvi-sa-simptomite-na-nisak-testosteron,Какви са симптомите на нисък тестостерон? – Testograph,text/html; charset=utf-8,false,200,0,https://shop.testograph.eu/cdn/shop/files/testograph-analysys.webp?v=1759941702&width=1500,200,1
1,https://shop.testograph.eu/en/products/testographpro,Testograph PRO: Експертна Програма за Мъжко Здраве и Хормони,text/html; charset=utf-8,false,200,0,https://shop.testograph.eu/cdn/shop/files/testographpro.webp?v=1761466987&width=1946,200,1
1,https://shop.testograph.eu/products/testographpro,Testograph PRO: Експертна Програма за Мъжко Здраве и Хормони,text/html; charset=utf-8,false,200,0,https://shop.testograph.eu/cdn/shop/files/testographpro.webp?v=1761466987&width=1946,200,1
